ProteinA	ProteinB	Methods	References
Caspase1	RIPK2	GST fusion protein pull-down;Co-immunoprecipitation;Caspase cleaved assay;Reporter gene assay;Luciferase assay	11051551;9705938;11536016;15039421;16585594;21862576
Caspase1	CARD17	Co-immunoprecipitation	15383541
Caspase1	Caspase12	Co-immunoprecipitation;Caspase cleaved assay	16625199;18332441
Caspase1	NLRP1	Co-immunoprecipitation;Size-exclusion chromatography;Luciferase assay;ELISA;Caspase cleaved assay	17349957;17418785;19401709;21252346;19066616
Caspase1	NOD1	Co-immunoprecipitation;Immunoprecipitation	10329646;12459189
Caspase1	NOD2	Co-immunoprecipitation;Caspase cleaved assay	18511561
Caspase2	RAIDD	GST fusion protein pull-down;His fusion protein pull-down;In vitro purification protein assembly(Native gel-electrophoresis);In vitro purification protein assembly(Size-exclusion chromatography);Yeast two-hybrid;Co-Immunofluorescence staining;Co-immunoprecipitation;β-galactosidase staining;Trypan blue staining;TUNEL assay	9044836;8985253;20872280;15073321;11156409;10713730;11978827;16652156;18845684;19782032;22515271
Caspase2	Apaf1	Size-exclusion chromatography	12460989
Caspase2	NLRP1	Co-immunoprecipitation	11076957;12191486
Caspase2	NOD1	Co-immunoprecipitation	10329646
Caspase2	NOL3	Co-immunoprecipitation	9560245
Caspase9	Apaf1	GST fusion protein pull-down;In vitro purification protein assembly(Size-exclusion chromatography);Yeast two-hybrid;Co-immunoprecipitation;Size-exclusion chromatography;Structure;Gel filtration;β-galactosidase staining;DAPI staining;Caspase cleaved assay	9390557;9922454;11408476;11821383;14993223;15542838;10206961;10376594;11230124;11904389;19494828;19337385;9488720;9539746;15253891;10617566;10692394;11550094;12460989;14602082
Caspase9	CARD8	GST fusion protein pull-down;Co-immunoprecipitation;DAPI staining, Immunoprecipitation	11408476
Caspase9	CIAP1	GST fusion protein pull-down;Co-immunoprecipitation;DAPI staining	9545235
Caspase9	CIAP2	GST fusion protein pull-down;Co-immunoprecipitation;DAPI staining	9545235
Caspase9	NOD1	Co-immunoprecipitation;Caspase cleaved assay, β-galactosidase staining	10329646
CIAP1	Caspase9	GST fusion protein pull-down;Co-immunoprecipitation;DAPI staining	9545235
CIAP1	RIPK2	GST fusion protein pull-down;Co-immunoprecipitation;β-galactosidase staining	19464198;21931591;9642260;9705938
CIAP2	Caspase9	GST fusion protein pull-down;Co-immunoprecipitation;DAPI staining	9545235
CIAP2	RIPK2	GST fusion protein pull-down;Co-immunoprecipitation	19464198;21931591;9705938
CIAP2	Bcl-10	Co-immunoprecipitation	12786973;16775419
NLRP1	Apaf1	GST fusion protein pull-down;Co-immunoprecipitation;DAPI staining	11113115;17418785
NLRP1	CARD12	Co-immunoprecipitation	11472070
NLRP1	CARD6	Co-immunoprecipitation	12775719
NLRP1	Caspase1	Co-immunoprecipitation;Size-exclusion chromatography;Luciferase assay;ELISA;Caspase cleaved assay	17349957;17418785;19401709;21252346;19066616
NLRP1	Caspase2	Co-immunoprecipitation	11076957;12191486
NLRP1	Caspase4	Co-immunoprecipitation	12191486
NLRP1	Caspase5	Co-immunoprecipitation;Caspase cleaved assay;ELISA	12191486;17418785
NOD1	RIPK2	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;Luciferase assay;Reporter gene assay	22470564;10224040;19337385;10329646;11463746;12459189;17054981
NOD1	CARD6	Co-immunoprecipitation;Luciferase assay	12775719
NOD1	Caspase1	Co-immunoprecipitation;Immunoprecipitation	10329646;12459189
NOD1	Caspase2	Co-immunoprecipitation	10329646
NOD1	Caspase4	Co-immunoprecipitation	10329646
NOD1	Caspase9	Co-immunoprecipitation;Caspase cleaved assay, β-galactosidase staining	10329646
NOD2	RIG-1	His Fusion protein pull-down;Co-Immunofluorescence staining;Co-immunoprecipitation;Reporter gene assay	21690088
NOD2	RIPK2	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;Luciferase assay;ELISA	22470564;19337385;11087742;15620648;18775659;19464198;22665475
NOD2	CARD12	Co-immunoprecipitation	11472070
NOD2	Caspase1	Co-immunoprecipitation;Caspase cleaved assay	18511561
RAIDD	Bcl-10	Two-hybrid;Co-immunoprecipitation;Immunoprecipitation	22323537
