entrez_gene_ida	entrez_gene_idb	gene_symbol_a	gene_symbol_b	screens_found
211	7114	ALAS1	TMSB4X	2
211	7115	ALAS1	TMSB4XP1	2
211	7116	ALAS1	TMSB4XP2	2
211	7120	ALAS1	TMSB4XP6	2
211	7456	ALAS1	WIPF1	1
211	7728	ALAS1	ZNF175	1
211	9168	ALAS1	TMSB10	2
211	10868	ALAS1	USP20	1
211	23503	ALAS1	ZFYVE26	1
211	26073	ALAS1	POLDIP2	1
211	54535	ALAS1	CCHCR1	1
211	54552	ALAS1	GNL3L	1
211	54980	ALAS1	C2orf42	1
211	57634	ALAS1	EP400	1
211	63898	ALAS1	SH2D4A	1
211	64781	ALAS1	CERK	2
211	64927	ALAS1	TTC23	1
211	79577	ALAS1	CDC73	1
211	84460	ALAS1	ZMAT1	1
211	91694	ALAS1	LONRF1	1
211	113115	ALAS1	MTFR2	1
211	124460	ALAS1	SNX20	1
211	142679	ALAS1	DUSP19	2
211	150483	ALAS1	TEKT4	2
211	163050	ALAS1	ZNF564	1
211	283212	ALAS1	KLHL35	1
211	441518	ALAS1	FAM127C	2
212	54971	ALAS2	BANP	1
216	216	ALDH1A1	ALDH1A1	1
221	3881	ALDH3B1	KRT31	1
221	85291	ALDH3B1	KRTAP4-2	1
221	125115	ALDH3B1	KRT40	2
221	386675	ALDH3B1	KRTAP10-7	1
221	386676	ALDH3B1	KRTAP10-9	1
221	386680	ALDH3B1	KRTAP10-5	1
221	386681	ALDH3B1	KRTAP10-8	1
221	386682	ALDH3B1	KRTAP10-3	2
221	388677	ALDH3B1	NOTCH2NL	2
226	226	ALDOA	ALDOA	1
226	230	ALDOA	ALDOC	2
226	3441	ALDOA	IFNA4	1
230	84708	ALDOC	LNX1	1
240	4222	ALOX5	MEOX1	1
240	5966	ALOX5	REL	1
240	8379	ALOX5	MAD1L1	1
240	79802	ALOX5	HHIPL2	1
240	80254	ALOX5	CEP63	2
240	93426	ALOX5	SYCE1	1
240	256646	ALOX5	NUTM1	1
240	285753	ALOX5	CEP57L1	2
248	386676	ALPI	KRTAP10-9	1
248	386681	ALPI	KRTAP10-8	2
248	386682	ALPI	KRTAP10-3	2
248	388677	ALPI	NOTCH2NL	1
250	3846	ALPP	KRTAP5-9	1
250	83755	ALPP	KRTAP4-12	1
250	386682	ALPP	KRTAP10-3	1
259	2275	AMBP	FHL3	1
271	271	AMPD2	AMPD2	1
271	23582	AMPD2	CCNDBP1	1
273	5533	AMPH	PPP3CC	1
273	159989	AMPH	CCDC67	1
273	339231	AMPH	ARL16	1
293	373	SLC25A6	TRIM23	1
293	3881	SLC25A6	KRT31	1
293	7185	SLC25A6	TRAF1	1
293	7205	SLC25A6	TRIP6	1
293	11043	SLC25A6	MID2	2
293	23281	SLC25A6	MTUS2	1
293	84445	SLC25A6	LZTS2	1
293	150483	SLC25A6	TEKT4	1
293	388677	SLC25A6	NOTCH2NL	2
301	4212	ANXA1	MEIS2	1
307	23569	ANXA4	PADI4	1
311	10016	ANXA11	PDCD6	1
